timestamp,datetime,frame,face_id,emotion,confidence
1.5194363594055176,2025-12-14T15:51:09.220309,1,0,Angry,0.1456623375415802
1.7362680435180664,2025-12-14T15:51:09.437141,2,0,Neutral,0.14566431939601898
1.8932738304138184,2025-12-14T15:51:09.594147,3,0,Neutral,0.14563794434070587
2.0552735328674316,2025-12-14T15:51:09.756146,4,0,Neutral,0.1453828066587448
2.2009527683258057,2025-12-14T15:51:09.901825,5,0,Angry,0.1458781659603119
2.3469345569610596,2025-12-14T15:51:10.047807,6,0,Surprise,0.14544899761676788
2.5135035514831543,2025-12-14T15:51:10.214376,7,0,Surprise,0.14544010162353516
2.676588773727417,2025-12-14T15:51:10.377462,8,0,Angry,0.1454657018184662
2.8477518558502197,2025-12-14T15:51:10.548624,9,0,Angry,0.14572882652282715
3.0137617588043213,2025-12-14T15:51:10.714635,10,0,Angry,0.14550276100635529
3.1848199367523193,2025-12-14T15:51:10.885693,11,0,Angry,0.1457652896642685
3.3427023887634277,2025-12-14T15:51:11.043575,12,0,Angry,0.14587990939617157
3.5106842517852783,2025-12-14T15:51:11.211557,13,0,Surprise,0.1460663080215454
3.6830825805664062,2025-12-14T15:51:11.383955,14,0,Angry,0.14629463851451874
3.859083652496338,2025-12-14T15:51:11.559956,15,0,Surprise,0.1463346928358078
4.034426927566528,2025-12-14T15:51:11.735300,16,0,Angry,0.14632679522037506
4.196658611297607,2025-12-14T15:51:11.897531,17,0,Surprise,0.14623841643333435
4.356793642044067,2025-12-14T15:51:12.057666,18,0,Angry,0.14632615447044373
4.529168367385864,2025-12-14T15:51:12.230041,19,0,Angry,0.14652788639068604
4.688829660415649,2025-12-14T15:51:12.389703,20,0,Angry,0.14639760553836823
4.848815441131592,2025-12-14T15:51:12.549688,21,0,Angry,0.14649495482444763
5.011831998825073,2025-12-14T15:51:12.712705,22,0,Angry,0.14651983976364136
5.169278383255005,2025-12-14T15:51:12.870151,23,0,Angry,0.14650192856788635
5.339569568634033,2025-12-14T15:51:13.040442,24,0,Angry,0.1467253416776657
5.493434906005859,2025-12-14T15:51:13.194308,25,0,Angry,0.14631147682666779
5.652707815170288,2025-12-14T15:51:13.353581,26,0,Angry,0.14673607051372528
5.805131196975708,2025-12-14T15:51:13.506004,27,0,Angry,0.14646311104297638
5.967079401016235,2025-12-14T15:51:13.667952,28,0,Angry,0.14654508233070374
